Year,Position,Name,ALRAS,RAS
2019,QB,David Blough,2.77,2.77
2018,QB,Bryan Schor,2.8,2.76
2000,QB,Tom Brady,1.43,2.74
2017,QB,Justin Alo,2.9,2.74
2019,QB,Eli Dunne,2.72,2.72
2014,QB,James Franklin,2.57,2.69
2014,QB,A.J. McCarron,2.66,2.67
2019,QB,Brent Stockstill,2.63,2.63
2010,QB,Riley Skinner,2.24,2.61
2015,QB,Shane Carden,2.55,2.61
2019,QB,Michael Scarnecchia,2.59,2.59
2000,QB,Sean Keenan,0.91,2.55
2017,QB,Sefo Liufau,2.51,2.55
1998,QB,Matt Sherman,0.68,2.54
2004,QB,John Navarre,1.74,2.52
1989,QB,Erik Wilhelm,1.21,2.5
2017,QB,Nick Mullens,2.7,2.48
2016,QB,Joe Callahan,2.6,2.47
1990,QB,Dave Schnell,0.72,2.46
1999,QB,Todd Bandhaur,1.33,2.45
2012,QB,Nathan Dick,2.38,2.45
2017,QB,Kenny Potter,2.62,2.45
1991,QB,Greg Jones,0.57,2.43
2018,QB,Brogan Roback,2.46,2.42
1988,QB,Kerwin Bell,0.42,2.4
2018,QB,Riley Ferguson,2.3,2.39
2011,QB,Nathan Enderle,2.14,2.34
2018,QB,Skyler Windmiller,2.36,2.32
2019,QB,Malik Rosier,2.32,2.32
1987,QB,Loren Snyder,0.7,2.31
1995,QB,John Sacca,0.9,2.31
1997,QB,Lance Funderburk,1.51,2.3
2019,QB,Andre Nunez,2.25,2.25
2015,QB,Jake Heaps,2.29,2.24
2018,QB,Mike White,2.17,2.17
1998,QB,Mike Mcqueary,1.02,2.14
1993,QB,Brad Lebo,1.16,2.09
2009,QB,Chase Holbrook,1.63,2.09
2016,QB,Matt Moore,2.12,2.09
1991,QB,Ralph Martini,0.95,2.03
1994,QB,Jim Miller,1.24,2.03
2018,QB,Jesse Hosket,1.94,2.03
2019,QB,Chris Laviano,2.03,2.03
2011,QB,Ryan Mallett,1.67,2.02
2018,QB,Max Staver,1.97,2.01
1988,QB,Dan Mccoin,0.22,2
2014,QB,Tommy Rees,1.86,2
2019,QB,Bart Williams,1.98,1.98
2018,QB,Noah Picton,1.93,1.97
2009,QB,Mike Teel,1.34,1.96
2014,QB,Jeff Mathews,1.82,1.94
2018,QB,Seth Suida,1.95,1.94
2013,QB,Tino Sunseri,1.6,1.93
2017,QB,Zach Terrell,2.06,1.92
2019,QB,Chase Forrest,1.9,1.9
2019,QB,Tyler Wiegers,1.89,1.89
1995,QB,Steve Stenstrom,0.99,1.87
2017,QB,Tyler Ferguson,1.91,1.87
2018,QB,Luis Perez,1.8,1.81
2019,QB,James Tabary,1.81,1.81
1991,QB,Greg Frey,0.59,1.76
2009,QB,Nathan Brown,1.25,1.76
2018,QB,Zach Mahoney,1.72,1.74
1994,QB,Jake Kelchner,0.69,1.71
2018,QB,Travis Tarnowski,1.69,1.71
1996,QB,Kyle Wachholtz,1.09,1.7
1997,QB,Koy Detmer,0.33,1.68
2019,QB,PJ Settles,1.65,1.65
1995,QB,Kelly Holcomb,0.66,1.64
1994,QB,Cree Morris,1.2,1.63
2017,QB,Dalton Easton,1.61,1.61
1987,QB,Mike Shula,0.16,1.54
2013,QB,Ryan Nassib,1.41,1.52
2000,QB,Justin Fuente,0.79,1.51
1989,QB,Drew Komlo,0.64,1.5
1991,QB,Tom Bill,0.39,1.49
2018,QB,Richard Lagow,1.42,1.47
2018,QB,Patrick OBrien,1.39,1.45
2019,QB,Billy Bahl,1.45,1.45
2017,QB,Asher Hastings,1.37,1.42
2019,QB,Price Wilson,1.38,1.38
2019,QB,Brett Hunchak,1.35,1.35
2018,QB,Kaleb Scott,1.22,1.34
2009,QB,Hunter Cantwell,1.03,1.28
2016,QB,Nick Arbuckle,1.18,1.28
1992,QB,Chris Hakel,0.52,1.17
1994,QB,Marvin Graves,0.2,1.14
2018,QB,Austin Wilson,1.11,1.14
2014,QB,David Fales,0.98,1.13
1995,QB,Frank Costa,0.47,1.12
2003,QB,Josh Blankenship,0.6,1.12
2017,QB,Caleb Rowe,1.12,1.1
1996,QB,Alfred Montez,0.55,1.09
1997,QB,Jim Arellanes,0.34,1.06
2009,QB,Nate Davis,0.73,1.06
2018,QB,Zach Cunha,1.04,1.06
2017,QB,Tyler Jones,1.07,1.05
2019,QB,Chance Stewart,1,1
2018,QB,Hugo Richard,0.92,0.99
2009,QB,Graham Harrell,0.74,0.95
2015,QB,Anthony Boone,0.81,0.93
1993,QB,Greg Willig,0.85,0.91
1990,QB,John Friesz,0.29,0.88
2012,QB,Kellen Moore,0.63,0.86
2018,QB,Brandon Silvers,0.83,0.86
2017,QB,Drew Hare,0.87,0.85
2018,QB,Thomas Woodson,0.77,0.82
1988,QB,Steve Slayden,0.23,0.8
2017,QB,Josh Straughan,0.82,0.76
2019,QB,Evan Orth,0.76,0.76
1992,QB,Kevin Verdugo,0.25,0.74
1990,QB,Mike Gundy,0.18,0.7
1996,QB,Dave Dickenson,0.21,0.68
2011,QB,Marc Mueller,0.48,0.68
2017,QB,Chad Jeffries,0.65,0.66
1993,QB,Charles Puleri,0.1,0.64
2007,QB,Toby Korrodi,0.51,0.62
2018,QB,Grant Russell,0.61,0.62
2006,QB,Drew Olson,0.43,0.6
2007,QB,John Stocco,0.31,0.56
2019,QB,Micahel Carrillo,0.56,0.56
1990,QB,Peter Willis,0.13,0.53
2018,QB,Kevin Anderson,0.53,0.53
2016,QB,Brandon Doughty,0.49,0.51
2013,QB,Ryan Griffin,0.46,0.5
2000,QB,Chris Redman,0.26,0.47
2012,QB,Jarrett Lee,0.36,0.44
2018,QB,Christian Strong,0.4,0.39
2014,QB,Billy McPhee,0.38,0.38
2006,QB,Bruce Eugene,0.3,0.36
1990,QB,Kirk Baumgartner,0.09,0.35
2017,QB,Jeff Ziemba,0.35,0.35
1991,QB,Brad Gossen,0.07,0.27
2019,QB,Christian Chapman,0.27,0.27
2018,QB,Nick Stevens,0.17,0.16
2014,QB,Reid Quest,0.14,0.12
2017,QB,Sean Maguire,0.12,0.1
2019,QB,Brad Mayes,0.08,0.08
2018,QB,Chase Burton,0.05,0.04
2019,QB,Colin McGovern,0.04,0.04
1987,QB,Steve Beuerlein,0.44,0
1988,QB,Dan Henning,0.03,0
2018,QB,Hunter Hughes,0,0
1987,WR,Odessa Turner,6.25,10
1989,WR,John Ford,7.53,10
1991,WR,Reggie Barrett,8.87,10
1993,WR,Vincent Brisby,8.99,10
1996,WR,Amani Toomer,9.42,10
1998,WR,Tony Simmons,8.52,10
1999,WR,Karsten Bailey,9.82,10
2002,WR,Javon Walker,9.98,10
2005,WR,Matt Jones,9.99,10
2007,WR,Calvin Johnson,10,10
2010,WR,Joe Webb,10,9.99
1999,WR,Tai Streets,9.55,9.98
2000,WR,Dez White,9.67,9.98
2001,WR,Kevin Kasper,9.89,9.98
2003,WR,Andre Johnson,9.98,9.98
2016,WR,Moritz Boehringer,9.99,9.98
2005,WR,Vincent Jackson,9.97,9.97
1999,WR,Gerald Williams,8.84,9.96
2001,WR,Justin McCareins,9.66,9.96
1997,WR,Marcus Robinson,8.4,9.95
2002,WR,Andre Davis,9.81,9.95
2015,WR,Breshad Perriman,9.96,9.95
1990,WR,Fred Barnett,8.63,9.94
1999,WR,Brandon Stokley,8.77,9.94
2000,WR,Chris Cole,9.74,9.94
2004,WR,D.J. Hackett,9.83,9.94
2005,WR,Braylon Edwards,9.93,9.94
2018,WR,D.J. Chark,9.94,9.94
2019,WR,Miles Boykin,9.94,9.94
1992,WR,Rico Smith,8.95,9.93
2002,WR,Tim Carter,9.84,9.93
2006,WR,Chad Jackson,9.92,9.93
2007,WR,Roy Hall,9.96,9.93
2011,WR,Julio Jones,9.97,9.93
2014,WR,Cody Latimer,9.95,9.93
2014,WR,Jeff Janis,9.96,9.93
1989,WR,Vernon Joines,8.26,9.92
1999,WR,Larry Parker,8.95,9.92
2010,WR,Scott Long,9.95,9.92
2013,WR,Sam McGuffie,9.93,9.92
1998,WR,Mikhael Ricks,8.28,9.91
2006,WR,Jeff Webb,9.86,9.9
1992,WR,Patrick Rowe,7.65,9.89
1998,WR,Jim Turner,7.78,9.89
2001,WR,Eddie Berlin,9.45,9.89
2008,WR,Chaz Schilens,9.92,9.89
2015,WR,Tyrell Williams,9.93,9.89
1988,WR,Brett Perriman,7.62,9.88
1990,WR,Alexander Wright,7.64,9.88
1994,WR,Willie Jackson,8.31,9.88
1997,WR,Yatil Green,8.9,9.88
2005,WR,Terrence Murphy,9.71,9.88
2019,WR,Emanuel Hall,9.88,9.88
1993,WR,John Morton,8.55,9.87
1996,WR,Muhsin Muhammad,8.09,9.87
2008,WR,Arman Shields,9.89,9.87
2012,WR,Michael Calvin,9.91,9.87
1999,WR,David Boston,8.86,9.86
2009,WR,Darrius Heyward-Bey,9.9,9.86
2015,WR,Sammie Coates,9.91,9.86
2018,WR,Dylan Cantrell,9.87,9.86
1998,WR,Brian Alford,8.49,9.85
2011,WR,Torrey Smith,9.88,9.85
2014,WR,Quincy Enunwa,9.86,9.85
1999,WR,Kevin Johnson,9.07,9.84
2002,WR,Ryan Tolhurst,9.56,9.84
2018,WR,Equanimeous St. brown,9.85,9.84
1989,WR,Tony Martin,8.64,9.83
2003,WR,Bethel Johnson,9.44,9.83
2010,WR,Stephen Williams,9.89,9.83
2015,WR,Cameron Meredith,9.9,9.83
1992,WR,Jimmy Smith,7.37,9.82
2002,WR,Jason McAddley,9.33,9.82
2004,WR,Tom Crowder,9.69,9.82
2005,WR,Roddy White,9.59,9.82
2008,WR,Will Franklin,9.81,9.82
2002,WR,Emmett Johnson,9.2,9.81
2006,WR,Derek Hagan,9.7,9.81
2018,WR,Courtland Sutton,9.82,9.81
2007,WR,Legedu Naanee,9.79,9.8
2012,WR,Shamawd Chambers,9.87,9.8
2000,WR,Muneer Moore,8.73,9.79
2013,WR,Brice Butler,9.85,9.79
2017,WR,Robert Davis,9.84,9.79
1999,WR,Eugene Baker,9,9.78
2001,WR,Robert Ferguson,8.61,9.78
2007,WR,John Broussard,9.75,9.78
2011,WR,Anthony Parker,9.85,9.78
1993,WR,Brian Stablein,7.7,9.77
2007,WR,Laurent Robinson,9.79,9.77
1999,WR,Torry Holt,7.99,9.76
2009,WR,Brooks Foster,9.68,9.76
2018,WR,Elijaah Goins,9.77,9.76
2019,WR,Parris Campbell,9.76,9.76
1988,WR,Azizuddin Abdur-Raoof,6.5,9.75
1989,WR,Jeff Query,8.56,9.75
2015,WR,DeVante Parker,9.83,9.75
2018,WR,Jordan Smallwood,9.78,9.75
1987,WR,Scott Schwedes,6.36,9.74
2012,WR,Brian Tyms,9.81,9.74
2017,WR,Francis Owusu,9.76,9.73
1999,WR,Creig Spann,7.37,9.72
2012,WR,Junior Hemingway,9.7,9.72
2013,WR,Jaron Brown,9.77,9.72
2015,WR,Kevin White,9.81,9.72
2017,WR,Devante Noil,9.71,9.72
2018,WR,Saeed Blacknall,9.74,9.72
2003,WR,Tyrone Calico,9.58,9.71
2005,WR,Courtney Roby,9.57,9.71
2017,WR,Zay Jones,9.75,9.71
2000,WR,JaJuan Dawson,8.09,9.68
2003,WR,Ryan Hoag,9.19,9.68
2008,WR,Chris Hogan,9.69,9.68
2015,WR,Chris Conley,9.8,9.68
2018,WR,Vyncint Smith,9.72,9.68
1992,WR,Ray Ethridge,8.17,9.67
1994,WR,Derrick Alexander,7.95,9.67
1998,WR,Randy Moss,7.03,9.67
2006,WR,Demetrius Williams,9.6,9.67
2017,WR,Chris Godwin,9.72,9.67
2019,WR,D.K. Metcalf,9.67,9.67
2006,WR,Devin Aromashodu,9.54,9.66
2015,WR,Geremy Davis,9.78,9.66
2001,WR,Freddie Mitchell,8.6,9.65
2005,WR,Troy Williamson,9.17,9.65
2012,WR,Greg Childs,9.73,9.65
2016,WR,Corey Coleman,9.68,9.65
2018,WR,D.J. Moore,9.7,9.65
1993,WR,Stevie Anderson,7.45,9.64
2000,WR,Bashir Yamini,8.15,9.64
2003,WR,Walter Young,9.22,9.64
2006,WR,Miles Austin,9.5,9.64
2012,WR,Chris Owusu,9.74,9.64
2003,WR,Kevin Curtis,9.06,9.63
2012,WR,Stephen Hill,9.78,9.63
2019,WR,Jalen Guyton,9.63,9.63
2005,WR,Mark Bradley,9.21,9.62
2013,WR,Uzoma Nwachukwu,9.73,9.62
2018,WR,Deontez Alexander,9.65,9.62
1995,WR,Michael Westbrook,8.3,9.61
2002,WR,David Givens,9.1,9.61
2017,WR,Amara Darboh,9.64,9.61
2018,WR,Justin Watson,9.63,9.61
2010,WR,Chris McGaha,9.62,9.6
2013,WR,Josh Boyce,9.65,9.6
2013,WR,Josh Lenz,9.63,9.59
2019,WR,Jason Moore,9.59,9.59
1989,WR,Shawn Collins,7.44,9.58
1993,WR,Qadry Ismail,6.52,9.58
2002,WR,Ron Johnson,8.4,9.58
2007,WR,Aundrae Allison,9.6,9.58
2019,WR,Terry McLaurin,9.58,9.58
2012,WR,Cody Pearcy,9.56,9.57
2002,WR,Terry Charles,8.54,9.56
2005,WR,J.R. Russell,9.01,9.56
2007,WR,Anthony Gonzalez,9.41,9.56
2011,WR,Greg Little,9.62,9.56
2015,WR,Tre McBride,9.66,9.56
2019,WR,Jeff Smith,9.56,9.56
2004,WR,Rashaun Woods,8.98,9.55
2008,WR,Andre Caldwell,9.48,9.55
2011,WR,Kealoha Pilares,9.61,9.55
1991,WR,Ernie Mills,7.94,9.54
1999,WR,Rondel Menendez,8.63,9.54
2007,WR,Aaron Fairooz,9.52,9.54
2013,WR,Ryan Swope,9.67,9.54
2007,WR,Robert Meachem,9.47,9.53
2011,WR,Ricardo Lockette,9.53,9.53
1990,WR,Tyrone Shavers,7.6,9.52
2004,WR,Michael Jenkins,9.34,9.52
2017,WR,Tim Patrick,9.59,9.52
2002,WR,Reche Caldwell,8.88,9.51
2017,WR,John Ross,9.5,9.51
2000,WR,Dennis Northcutt,8.41,9.5
2006,WR,Travis Wilson,9.12,9.5
2013,WR,Charles Johnson,9.64,9.5
2014,WR,Rashad Lawrence,9.57,9.49
2017,WR,Deante Burton,9.51,9.48
2019,WR,Hakeem Butler,9.48,9.48
1987,WR,Mark Ingram,5.05,9.47
2004,WR,Triandos Luke,8.61,9.47
2007,WR,Jason Hill,9.37,9.46
2008,WR,Donnie Avery,9.36,9.46
2008,WR,James Hardy,9.49,9.46
2010,WR,Blair White,9.37,9.46
2014,WR,Donte Moncrief,9.61,9.46
2015,WR,DeAndre Carter,9.51,9.46
1991,WR,Randal Hill,7.07,9.45
1998,WR,Ryan Thelwell,7.18,9.45
2001,WR,Jonathan Carter,8.71,9.45
2012,WR,Dale Moss,9.49,9.45
2014,WR,Martavis Bryant,9.53,9.45
2018,WR,Caleb Scott,9.47,9.45
2002,WR,Deion Branch,8.71,9.44
1993,WR,Horace Copeland,7.52,9.42
2002,WR,Javin Hunter,8.78,9.42
2004,WR,Clarence Moore,8.83,9.42
2016,WR,LaRon Byrd,9.52,9.42
1996,WR,Bryan Still,7.92,9.41
2008,WR,Pierre Garcon,9.42,9.41
2013,WR,Terrell Sinkfield,9.54,9.41
2016,WR,Josh Doctson,9.52,9.41
2009,WR,Mike Wallace,9.37,9.39
2010,WR,Emmanuel Sanders,9.41,9.39
2016,WR,Tyreek Hill,9.44,9.39
1988,WR,Quinn Early,5.27,9.38
1999,WR,Jermaine Copeland,7.02,9.38
2007,WR,Steve Smith,9.25,9.38
2009,WR,Quinten Lawrence,9.3,9.38
2012,WR,Julian Talley,9.44,9.38
2014,WR,Jordan Matthews,9.48,9.38
2015,WR,Shakim Phillips,9.55,9.38
2017,WR,C.J. Board,9.39,9.37
2009,WR,Justin Brown,9.32,9.35
2018,WR,Derrick Willies,9.4,9.35
2003,WR,Nate Burleson,8.57,9.34
2011,WR,A.J. Green,9.38,9.34
2012,WR,Rod Streater,9.43,9.34
2016,WR,Marcus Leak,9.35,9.34
2019,WR,Tre Harvey,9.34,9.34
1989,WR,Danny Peebles,7.6,9.33
2017,WR,Justice Liggins,9.46,9.33
2017,WR,Riley McCarron,9.36,9.33
1991,WR,Nigel Codrington,6.96,9.32
2001,WR,Chris Taylor,8.11,9.32
2005,WR,Leron McCoy,8.65,9.32
2008,WR,Adrian Arrington,9.03,9.32
1998,WR,Andy Mccullough,6.32,9.31
2013,WR,Mark Harrison,9.45,9.31
2017,WR,Montay Crockett,9.41,9.31
1999,WR,MarTay Jenkins,6.88,9.3
2001,WR,John Capel,8.52,9.3
1993,WR,Kenny Shedd,8.75,9.29
2000,WR,Anthony Lucas,6.83,9.29
2017,WR,Ishmael Zamora,9.39,9.29
2018,WR,Jaelon Acklin,9.31,9.29
1997,WR,Kevin Lockett,6.9,9.28
2012,WR,David Douglas,9.22,9.28
2017,WR,Michael Rector,9.35,9.28
1991,WR,Mike Pritchard,6.67,9.27
2009,WR,Julian Edelman,9.11,9.27
2010,WR,Victor Cruz,9.29,9.27
2013,WR,Marquise Goodwin,9.38,9.27
2018,WR,Anthony Miller,9.31,9.27
2018,WR,Marquez Scantling,9.29,9.27
1988,WR,J.J. Birden,6.84,9.25
1993,WR,Ron Dickerson,6.98,9.25
2007,WR,Dallas Baker,9.06,9.25
2011,WR,Kerry Taylor,9.23,9.25
2012,WR,Kashif Moore,9.25,9.25
2016,WR,Tevaun Smith,9.43,9.25
2017,WR,Anthony Nash,9.33,9.25
2018,WR,Kyle Lewis,9.28,9.25
2015,WR,Jordan Leslie,9.46,9.24
2019,WR,Thomas Ives,9.24,9.24
2004,WR,P.K. Sam,7.81,9.23
2013,WR,DaRick Rogers,9.3,9.23
2016,WR,Ricardo Louis,9.41,9.23
2017,WR,Krishawn Hogan,9.32,9.23
2019,WR,Reggie White Jr.,9.23,9.23
1993,WR,Victor Bailey,6.58,9.22
2014,WR,Bruce Ellington,9.19,9.22
1987,WR,Michael James,5.68,9.21
1997,WR,Macey Brooks,6.75,9.21
2001,WR,Reggie Germany,8.19,9.21
2015,WR,Kenny Bell,9.26,9.21
1992,WR,Charles Swann,6.51,9.2
2006,WR,Todd Watkins,8.67,9.2
2011,WR,Ryan Whalen,9.14,9.2
2006,WR,Hank Baskett,8.83,9.19
2010,WR,Shawn Gore,9.13,9.19
1991,WR,James Bradley,6.57,9.18
2015,WR,Damiere Byrd,9.27,9.18
2017,WR,Jalen Williams,9.22,9.18
2004,WR,Maurice Mann,8.14,9.17
2008,WR,Keenan Burton,8.96,9.17
2010,WR,David Nelson,9.15,9.17
2012,WR,Nick Toon,9.1,9.17
1998,WR,Jammi German,6.61,9.16
2010,WR,Akeem Foster,8.9,9.15
2016,WR,Trevor Davis,9.26,9.15
2005,WR,Reggie Brown,8.37,9.14
2014,WR,Brandin Cooks,9.12,9.14
2015,WR,Jaelen Strong,9.26,9.14
2004,WR,Kendrick Starling,8,9.13
2007,WR,Mike Sims-Walker,8.81,9.13
2008,WR,Josh Morgan,9,9.13
1999,WR,Marty Booker,7.1,9.12
2012,WR,Dorian Graham,9.33,9.12
2017,WR,Cody Hollister,9.16,9.12
2016,WR,Michael Thomas,9.27,9.11
2017,WR,Josh Reynolds,9.19,9.11
2009,WR,Tiquan Underwood,8.89,9.1
2010,WR,Donald Jones,9.04,9.1
2012,WR,Toney Clemons,9.3,9.1
1998,WR,Alvis Whitted,6.55,9.09
2011,WR,Greg Ellingson,9.05,9.09
2011,WR,Jonathan Baldwin,9.16,9.08
1998,WR,Donald Hayes,6.59,9.07
2004,WR,Carlos Francis,8.5,9.07
2017,WR,DeAngelo Yancey,9.2,9.07
2009,WR,Kevin Ogletree,8.85,9.06
2010,WR,Dez Bryant,9.08,9.06
2000,WR,Mareno Philyaw,7.67,9.05
2004,WR,Jerricho Cotchery,7.72,9.05
2019,WR,Gary Jennings,9.04,9.04
1996,WR,Sir Mawn Wilson,6.75,9.03
2006,WR,Brad Smith,8.67,9.03
2014,WR,Michael Campanaro,9.08,9.03
2018,WR,Damion Ratley,9.11,9.03
2012,WR,Alshon Jeffery,9.11,9.02
2017,WR,Chad Williams,9.17,9.02
2019,WR,Andre Lindsey,9.01,9.01
1999,WR,Derrius Thompson,7.06,9
2006,WR,Devin Hester,8.58,9
2012,WR,Devon Wylie,9.16,9
1993,WR,Antonio Johnson,7.43,8.99
2000,WR,Trevor Gaylor,6.91,8.99
2008,WR,Paul Hubbard,8.75,8.99
2009,WR,Johnny Knox,8.85,8.99
2014,WR,Devin Street,9.09,8.99
2017,WR,David Moore,9.14,8.99
1990,WR,Gary Cooper,6.89,8.98
1998,WR,Jason Tucker,5.76,8.98
2014,WR,Dri Archer,9.07,8.98
2015,WR,Isaac Fruechte,9.28,8.98
2016,WR,Tevin Jones,9.21,8.98
2014,WR,Tevin Reese,9.13,8.97
2016,WR,Marquez North,9.18,8.97
1998,WR,Pat Johnson,6.93,8.96
2011,WR,DeMarco Sampson,9.02,8.96
2012,WR,A.J. Jenkins,9.05,8.96
1987,WR,Frankie Neal,6.68,8.95
2017,WR,Kenny Golladay,9.09,8.94
2019,WR,Ashton Dulin,8.94,8.94
2004,WR,Johnnie Morant,8.56,8.93
2006,WR,Chris Hannon,8.44,8.93
2010,WR,Andre Roberts,8.86,8.93
2011,WR,Jeremy Ross,8.97,8.93
2012,WR,Josh Gordon,8.94,8.93
2001,WR,Koren Robinson,7.23,8.92
2011,WR,Aldrick Robinson,8.96,8.92
2016,WR,Mitch Mathews,9.24,8.92
2019,WR,Darius Slayton,8.92,8.92
2017,WR,Quincy Adeboyejo,8.99,8.91
1994,WR,Kevin Lee,5.52,8.9
2018,WR,Cameron Batson,8.93,8.9
2018,WR,Trent Sherfield,8.97,8.89
1999,WR,Darrin Chiaverini,6.92,8.88
2015,WR,George Farmer,9.15,8.88
2000,WR,R. Jay Soward,7.97,8.87
2000,WR,R.Jay Soward,7.97,8.87
2015,WR,Darren Waller,9.18,8.87
2012,WR,Marvin Jones,8.92,8.86
2014,WR,Allen Robinson,9.04,8.86
2011,WR,Greg Salas,8.8,8.85
2018,WR,Kahlil Dawson,8.89,8.85
1992,WR,Shoun Habersham,6.28,8.84
1994,WR,Isaac Bruce,6.48,8.84
2000,WR,Larry Foster,6.81,8.84
2010,WR,Carlton Mitchell,8.77,8.84
1995,WR,Chris Sanders,6.04,8.83
2018,WR,Jonah Trinnaman,8.91,8.83
1989,WR,Dana Brinson,7.15,8.82
2014,WR,Odell Beckham Jr.,8.79,8.82
2019,WR,DJ Montgomery,8.82,8.82
2001,WR,Bobby Newcombe,7.05,8.81
2009,WR,Percy Harvin,8.37,8.81
1990,WR,Calvin Williams,6,8.8
2004,WR,Lee Evans,7.8,8.8
2010,WR,Josh Bishop,8.66,8.8
2011,WR,Niles Paul,8.81,8.8
2016,WR,Andy Jones,9.07,8.8
2005,WR,Jerome Mathis,8.07,8.79
2017,WR,Anas Hasic,8.89,8.79
2016,WR,Marvin Hall,9.03,8.78
2019,WR,JonVea Johnson,8.78,8.78
2012,WR,DeVier Posey,8.98,8.77
2008,WR,Jerome Simpson,8.48,8.75
2016,WR,Tre Roberson,9,8.75
2014,WR,Jamel Johnson,9.02,8.74
2010,WR,Nate Binder,8.48,8.72
2005,WR,Craig Bragg,7.34,8.71
2016,WR,Herb Waters,8.93,8.71
1993,WR,Sean Lachapelle,6.4,8.7
2000,WR,Sylvester Morris,6.45,8.7
1998,WR,Fred Coleman,5.49,8.69
2012,WR,Tommy Streeter,8.91,8.69
2017,WR,Taywan Taylor,8.84,8.69
1987,WR,Ricky Nattiel,4.68,8.68
2000,WR,Chris Coleman,7.32,8.68
2013,WR,Justin Hunter,8.93,8.68
2005,WR,Mike Williams,8.25,8.67
2006,WR,Sinorice Moss,8.17,8.67
2007,WR,Courtney Taylor,8.35,8.67
1989,WR,Don Beebe,6.39,8.66
1994,WR,Turhon OBannon,5.55,8.66
2000,WR,Charles Lee,6.41,8.66
2008,WR,Devin Thomas,8.74,8.66
2005,WR,Fred Gibson,8.02,8.65
1988,WR,Brian Bedford,5,8.63
1992,WR,Elbert Turner,6.19,8.62
2014,WR,Damian Copeland,8.57,8.62
2018,WR,Willis White,8.68,8.62
2019,WR,Stanley Morgan Jr.,8.62,8.62
2010,WR,Marcus Easley,8.49,8.61
2006,WR,Greg Jennings,8.2,8.6
2015,WR,Devin Smith,8.85,8.6
2019,WR,A.J. Brown,8.6,8.6
2004,WR,Reggie Williams,7.76,8.59
2016,WR,Braxton Miller,8.74,8.59
2005,WR,Mark Clayton,7.67,8.58
2018,WR,Allen Lazard,8.66,8.58
1989,WR,Anthony Stafford,5.36,8.57
2006,WR,Marques Colston,8.01,8.57
2016,WR,Gary Chambers,8.96,8.57
2016,WR,Davonte Allen,8.88,8.57
2017,WR,Justin Hardee,8.73,8.57
2018,WR,Devin Gray,8.69,8.57
2005,WR,Brandon Jones,7.51,8.56
2007,WR,Craig Davis,7.69,8.56
2015,WR,Amari Cooper,8.58,8.56
2005,WR,Chase Lyman,7.37,8.55
2010,WR,Taylor Price,8.65,8.55
1999,WR,Kenny Cheatham,6.02,8.54
2010,WR,Damian Williams,8.51,8.54
2014,WR,Donte Foster,8.87,8.54
2004,WR,Ryan Krause,7.53,8.53
1999,WR,Eddie Conti,6.31,8.52
2013,WR,Aaron Dobson,8.76,8.52
1994,WR,Tydus Winans,6.56,8.51
2004,WR,Samie Parker,7.96,8.51
2018,WR,Jacob Sannon,8.63,8.51
1990,WR,Fred Jones,6.69,8.5
1999,WR,D’Wayne Bates,5.65,8.5
1989,WR,Hart Lee Dykes,6.65,8.49
1991,WR,Keenan Mccardell,5.66,8.49
2012,WR,Bogdan Raic,8.74,8.49
1999,WR,Kenny Mitchell,5.5,8.48
1993,WR,Sean Dawkins,6,8.47
2015,WR,Austin Willis,8.78,8.47
2017,WR,Tommy Armstrong,8.67,8.47
2017,WR,Brandon Reilly,8.62,8.47
2015,WR,Phillip Dorsett,8.68,8.46
2019,WR,Cody Thompson,8.46,8.46
2002,WR,RJ English,6.86,8.45
2012,WR,Tyler Shoemaker,8.76,8.45
2014,WR,Sammy Watkins,8.82,8.45
2017,WR,Garry Brown,8.72,8.45
2006,WR,Maurice Stovall,8.06,8.44
2015,WR,DiAndre Campbell,8.7,8.44
2008,WR,Darius Reynaud,8.45,8.43
2018,WR,JMon Moore,8.44,8.43
1987,WR,James Brim,4.73,8.42
2019,WR,NKeal Harry,8.42,8.42
2006,WR,Jonathan Orr,7.62,8.41
1989,WR,Rob Thomas,6.07,8.4
1991,WR,Ed Mccaffrey,6.24,8.4
1996,WR,James Roe,6.17,8.4
2014,WR,Taylor Gabriel,8.8,8.4
2017,WR,Brandon Holloway,8.5,8.4
2013,WR,Rodney Smith,8.44,8.39
2000,WR,Windrell Hayes,6.78,8.38
2015,WR,Evan Spencer,8.81,8.38
2017,WR,Courtney Moshood,8.41,8.38
2018,WR,Ellis Jefferson,8.51,8.38
2013,WR,Markus Wheaton,8.37,8.37
1992,WR,Michael Bates,5.45,8.36
2013,WR,Jheranie Boyd,8.7,8.36
2001,WR,Cedrick Wilson,6.82,8.35
2012,WR,Ismael Bamba,8.52,8.35
2014,WR,Jonathan Krause,8.72,8.35
2016,WR,Jake Lampman,8.69,8.35
1999,WR,Dee Miller,5.26,8.34
2016,WR,Devin Fuller,8.59,8.34
2017,WR,Jerome Lane,8.56,8.34
2018,WR,Ben Guarino,8.46,8.34
2019,WR,Michael Walker,8.34,8.34
2017,WR,Bug Howard,8.54,8.33
2019,WR,Malik Taylor,8.33,8.33
2001,WR,Richmond Flowers,6.03,8.32
2012,WR,Nathan Palmer,8.79,8.31
2019,WR,Mecole Hardman,8.31,8.31
2007,WR,Steve Breaston,8.07,8.3
2007,WR,Paul Williams,8.06,8.29
2010,WR,Armanti Edwards,8.39,8.29
